New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
160, 2, 5, 45, -529.5
161, 2, 5, 40, -529.5
162, 2, 5, 35, -529.5
163, 6, 4.7, 40, -514.0
164, 5, 5, 40, -529.5
165, 5, 5, 40, -529.5
166, 6, 4.7, 45, -512.5
167, 5, 5, 45, -529.5
168, 5, 5, 45, -529.5
169, 8, 5, 50, -529.0
170, 7, 5, 50, -529.0
171, 8, 5, 50, -529.0
172, 8, 5, 50, -529.0
173, 1, 5, 45, -529.5
174, 5, 5, 45, -529.5
175, 1, 5, 40, -529.5
176, 2, 5, 35, -529.5
177, 7, 5, 40, -529.5
178, 1, 5, 35, -529.5
179, 5, 5, 35, -529.5
180, 5, 5, 35, -529.5
181, 5, 5, 35, -529.5
182, 5, 5, 35, -529.5
183, 8, 5, 40, -529.5
184, 0, 4.7, 35, -514.0
185, 6, 4.4, 40, -474.0
186, 5, 4.7, 40, -514.0
187, 8, 5, 45, -529.5
188, 3, 4.7, 45, -512.5
189, 4, 4.7, 45, -512.5
190, 8, 5, 50, -529.0
191, 1, 5, 45, -529.5
192, 5, 5, 45, -529.5
193, 6, 4.7, 50, -511.0
194, 5, 5, 50, -529.0
195, 1, 5, 45, -529.5
196, 4, 5, 45, -529.5
197, 8, 5, 50, -529.0
198, 2, 5, 45, -529.5
199, 2, 5, 40, -529.5
200, 2, 5, 35, -529.5
201, 8, 5, 40, -529.5
202, 7, 5, 45, -529.5
203, 8, 5, 50, -529.0
204, 2, 5, 45, -529.5
205, 1, 5, 40, -529.5
206, 8, 5, 45, -529.5
207, 8, 5, 50, -529.0
208, 7, 5, 50, -529.0
209, 3, 4.7, 50, -511.0
210, 2, 5, 45, -529.5
211, 8, 5, 50, -529.0
212, 2, 5, 45, -529.5
213, 2, 5, 40, -529.5
214, 8, 5, 45, -529.5
215, 2, 5, 40, -529.5
216, 2, 5, 35, -529.5
217, 8, 5, 40, -529.5
218, 0, 4.7, 35, -514.0
219, 5, 5, 35, -529.5
220, 5, 5, 35, -529.5
221, 5, 5, 35, -529.5
222, 8, 5, 40, -529.5
223, 4, 5, 40, -529.5
224, 6, 4.7, 45, -512.5
225, 5, 5, 45, -529.5
226, 2, 5, 40, -529.5
227, 5, 5, 40, -529.5
228, 5, 5, 40, -529.5
229, 2, 5, 35, -529.5
230, 8, 5, 40, -529.5
231, 6, 4.7, 45, -512.5
232, 8, 5, 50, -529.0
233, 1, 5, 45, -529.5
234, 1, 5, 40, -529.5
235, 2, 5, 35, -529.5
236, 5, 5, 35, -529.5
237, 8, 5, 40, -529.5
238, 0, 4.7, 35, -514.0
239, 8, 5, 40, -529.5
240, 8, 5, 45, -529.5
241, 1, 5, 40, -529.5
242, 7, 5, 45, -529.5
243, 3, 4.7, 45, -512.5
244, 2, 5, 40, -529.5
245, 2, 5, 35, -529.5
246, 2, 5, 30, -529.5
247, 2, 5, 25, -529.5
248, 2, 5, 20, -529.5
249, 2, 5, 15, -529.5
250, 2, 5, 10, -529.5
251, 1, 5, 5, -529.5
252, 4, 5, 5, -529.5
253, 7, 5, 10, -529.5
254, 2, 5, 5, -529.5
255, 7, 5, 10, -529.5
256, 7, 5, 15, -529.5
257, 2, 5, 10, -529.5
258, 2, 5, 5, -529.5
259, 8, 5, 10, -529.5
260, 4, 5, 10, -529.5
261, 8, 5, 15, -529.5
262, 8, 5, 20, -529.5
263, 8, 5, 25, -529.5
264, 8, 5, 30, -529.5
265, 5, 5, 30, -529.5
266, 5, 5, 30, -529.5
267, 8, 5, 35, -529.5
268, 7, 5, 40, -529.5
269, 2, 5, 35, -529.5
270, 1, 5, 30, -529.5
271, 8, 5, 35, -529.5
272, 8, 5, 40, -529.5
273, 8, 5, 45, -529.5
274, 8, 5, 50, -529.0
275, 8, 5, 50, -529.0
276, 0, 4.7, 45, -512.5
277, 8, 5, 50, -529.0
278, 2, 5, 45, -529.5
279, 2, 5, 40, -529.5
280, 4, 5, 40, -529.5
281, 0, 4.7, 35, -514.0
282, 8, 5, 40, -529.5
283, 8, 5, 45, -529.5
284, 8, 5, 50, -529.0
285, 8, 5, 50, -529.0
286, 5, 5, 50, -529.0
287, 0, 4.7, 45, -512.5
288, 7, 4.7, 50, -511.0
289, 8, 5, 50, -529.0
290, 2, 5, 45, -529.5
291, 8, 5, 50, -529.0
292, 8, 5, 50, -529.0
293, 5, 5, 50, -529.0
294, 1, 5, 45, -529.5
295, 5, 5, 45, -529.5
296, 4, 5, 45, -529.5
297, 4, 5, 45, -529.5
298, 3, 4.7, 45, -512.5
299, 4, 4.7, 45, -512.5
300, 4, 4.7, 45, -512.5
301, 5, 5, 45, -529.5
302, 5, 5, 45, -529.5
303, 5, 5, 45, -529.5
304, 8, 5, 50, -529.0
305, 2, 5, 45, -529.5
306, 8, 5, 50, -529.0
307, 2, 5, 45, -529.5
308, 5, 5, 45, -529.5
309, 1, 5, 40, -529.5
310, 5, 5, 40, -529.5
311, 5, 5, 40, -529.5
312, 5, 5, 40, -529.5
313, 3, 4.7, 40, -514.0
314, 1, 4.7, 35, -514.0
315, 2, 5, 30, -529.5
316, 1, 5, 25, -529.5
317, 7, 5, 30, -529.5
318, 7, 5, 35, -529.5
319, 2, 5, 30, -529.5
320, 2, 5, 25, -529.5
321, 2, 5, 20, -529.5
322, 1, 5, 15, -529.5
323, 7, 5, 20, -529.5
324, 7, 5, 25, -529.5
325, 7, 5, 30, -529.5
326, 7, 5, 35, -529.5
327, 6, 4.7, 40, -514.0
328, 2, 5, 35, -529.5
329, 2, 5, 30, -529.5
330, 2, 5, 25, -529.5
331, 2, 5, 20, -529.5
332, 2, 5, 15, -529.5
333, 2, 5, 10, -529.5
334, 5, 5, 10, -529.5
335, 2, 5, 5, -529.5
336, 5, 5, 5, -529.5
337, 2, 5, 5, -529.5
338, 8, 5, 10, -529.5
339, 8, 5, 15, -529.5
340, 8, 5, 20, -529.5
341, 0, 4.7, 15, -521.5
