New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
130, 1, 2.0000000000000018, 5, -268.0
131, 5, 2.3000000000000016, 5, -311.5
132, 3, 2.0000000000000018, 5, -268.0
133, 1, 2.0000000000000018, 5, -268.0
134, 8, 2.3000000000000016, 10, -272.0
135, 3, 2.0000000000000018, 10, -192.0
136, 2, 2.3000000000000016, 5, -311.5
137, 3, 2.0000000000000018, 5, -268.0
138, 2, 2.3000000000000016, 5, -311.5
139, 2, 2.6000000000000014, 5, -396.0
140, 2, 2.9000000000000012, 5, -371.5
141, 4, 2.9000000000000012, 5, -371.5
142, 4, 2.9000000000000012, 5, -371.5
143, 4, 2.9000000000000012, 5, -371.5
144, 5, 3.200000000000001, 5, -428.0
145, 3, 2.9000000000000012, 5, -371.5
146, 4, 2.9000000000000012, 5, -371.5
147, 7, 2.9000000000000012, 10, -347.0
148, 1, 2.9000000000000012, 5, -371.5
149, 5, 3.200000000000001, 5, -428.0
